Source,Target,Distance,s_lon,s_lat,t_lon,t_lat
Islamabad,Lahore,164.11,33.63573935,72.9230467027632,31.5655908,74.3141453
Islamabad,Karachi,679.12,33.63573935,72.9230467027632,25.147872,67.1821931713384
Islamabad,Mumbai,1011.84,33.63573935,72.9230467027632,18.9387711,72.8353355
Islamabad,Beijing,2425.51,33.63573935,72.9230467027632,39.906217,116.3912757
Islamabad,Tehran,1231.44,33.63573935,72.9230467027632,35.7006177,51.4013785
Islamabad,Kabul,223.38,33.63573935,72.9230467027632,34.5260131,69.1776476
Islamabad,Baku,1354.11,33.63573935,72.9230467027632,40.3754434,49.8326748
Islamabad,Dhaka,1256.49,33.63573935,72.9230467027632,23.7593572,90.3788136
Islamabad,Cairo,2447.42,33.63573935,72.9230467027632,30.048819,31.243666
Islamabad,Baghdad,1643.60,33.63573935,72.9230467027632,33.3024309,44.3787992
Islamabad,Tel Aviv,2208.46,33.63573935,72.9230467027632,32.0804808,34.7805274
Islamabad,Astana,1209.73,33.63573935,72.9230467027632,51.128258,71.43055
Islamabad,Kuwait City,1497.73,33.63573935,72.9230467027632,29.3797091,47.9735629
Islamabad,Tripoli,3408.46,33.63573935,72.9230467027632,32.896672,13.1777923
Islamabad,Muscat,1115.64,33.63573935,72.9230467027632,23.5125498,58.5514017715319
Islamabad,Riyadh,1695.69,33.63573935,72.9230467027632,24.6319692,46.7150648
Islamabad,Abu Dhabi,1341.16,33.63573935,72.9230467027632,23.99764435,53.6439097569213
Islamabad,Amman,2145.17,33.63573935,72.9230467027632,31.9515694,35.9239625
Islamabad,Moscow,2271.32,33.63573935,72.9230467027632,55.7507178,37.6176606
Islamabad,New York City,6897.91,33.63573935,72.9230467027632,40.7308619,-73.9871558
Islamabad,Istanbul,2447.13,33.63573935,72.9230467027632,41.0096334,28.9651646
Islamabad,Bangkok,2221.95,33.63573935,72.9230467027632,13.7538929,100.8160803
Islamabad,Geneva,3543.38,33.63573935,72.9230467027632,46.2017559,6.1466014
Islamabad,Colombo,1890.97,33.63573935,72.9230467027632,6.9218124,79.8655608840961
Lahore,Islamabad,164.11,31.5655908,74.3141453,33.63573935,72.9230467027632
Lahore,Karachi,619.39,31.5655908,74.3141453,25.147872,67.1821931713384
Lahore,Mumbai,874.05,31.5655908,74.3141453,18.9387711,72.8353355
Lahore,Beijing,2410.63,31.5655908,74.3141453,39.906217,116.3912757
Lahore,Tehran,1348.01,31.5655908,74.3141453,35.7006177,51.4013785
Lahore,Kabul,361.15,31.5655908,74.3141453,34.5260131,69.1776476
Lahore,Baku,1493.98,31.5655908,74.3141453,40.3754434,49.8326748
Lahore,Dhaka,1120.19,31.5655908,74.3141453,23.7593572,90.3788136
Lahore,Cairo,2546.60,31.5655908,74.3141453,30.048819,31.243666
Lahore,Baghdad,1747.46,31.5655908,74.3141453,33.3024309,44.3787992
Lahore,Tel Aviv,2312.67,31.5655908,74.3141453,32.0804808,34.7805274
Lahore,Astana,1358.07,31.5655908,74.3141453,51.128258,71.43055
Lahore,Kuwait City,1575.09,31.5655908,74.3141453,29.3797091,47.9735629
Lahore,Tripoli,3529.29,31.5655908,74.3141453,32.896672,13.1777923
Lahore,Muscat,1113.29,31.5655908,74.3141453,23.5125498,58.5514017715319
Lahore,Riyadh,1746.24,31.5655908,74.3141453,24.6319692,46.7150648
Lahore,Abu Dhabi,1365.99,31.5655908,74.3141453,23.99764435,53.6439097569213
Lahore,Amman,2248.04,31.5655908,74.3141453,31.9515694,35.9239625
Lahore,Moscow,2434.29,31.5655908,74.3141453,55.7507178,37.6176606
Lahore,New York City,7061.33,31.5655908,74.3141453,40.7308619,-73.9871558
Lahore,Istanbul,2583.15,31.5655908,74.3141453,41.0096334,28.9651646
Lahore,Bangkok,2079.37,31.5655908,74.3141453,13.7538929,100.8160803
Lahore,Geneva,3692.85,31.5655908,74.3141453,46.2017559,6.1466014
Lahore,Colombo,1732.82,31.5655908,74.3141453,6.9218124,79.8655608840961
Karachi,Islamabad,679.12,25.147872,67.1821931713384,33.63573935,72.9230467027632
Karachi,Lahore,619.39,25.147872,67.1821931713384,31.5655908,74.3141453
Karachi,Mumbai,560.18,25.147872,67.1821931713384,18.9387711,72.8353355
Karachi,Beijing,3005.04,25.147872,67.1821931713384,39.906217,116.3912757
Karachi,Tehran,1187.17,25.147872,67.1821931713384,35.7006177,51.4013785
Karachi,Kabul,656.93,25.147872,67.1821931713384,34.5260131,69.1776476
Karachi,Baku,1451.13,25.147872,67.1821931713384,40.3754434,49.8326748
Karachi,Dhaka,1462.77,25.147872,67.1821931713384,23.7593572,90.3788136
Karachi,Cairo,2221.18,25.147872,67.1821931713384,30.048819,31.243666
Karachi,Baghdad,1483.60,25.147872,67.1821931713384,33.3024309,44.3787992
Karachi,Tel Aviv,2017.86,25.147872,67.1821931713384,32.0804808,34.7805274
Karachi,Astana,1806.13,25.147872,67.1821931713384,51.128258,71.43055
Karachi,Kuwait City,1215.68,25.147872,67.1821931713384,29.3797091,47.9735629
Karachi,Tripoli,3277.39,25.147872,67.1821931713384,32.896672,13.1777923
Karachi,Muscat,555.69,25.147872,67.1821931713384,23.5125498,58.5514017715319
Karachi,Riyadh,1284.25,25.147872,67.1821931713384,24.6319692,46.7150648
Karachi,Abu Dhabi,855.44,25.147872,67.1821931713384,23.99764435,53.6439097569213
Karachi,Amman,1950.18,25.147872,67.1821931713384,31.9515694,35.9239625
Karachi,Moscow,2584.10,25.147872,67.1821931713384,55.7507178,37.6176606
Karachi,New York City,7260.66,25.147872,67.1821931713384,40.7308619,-73.9871558
Karachi,Istanbul,2446.07,25.147872,67.1821931713384,41.0096334,28.9651646
Karachi,Bangkok,2322.16,25.147872,67.1821931713384,13.7538929,100.8160803
Karachi,Geneva,3626.14,25.147872,67.1821931713384,46.2017559,6.1466014
Karachi,Colombo,1508.12,25.147872,67.1821931713384,6.9218124,79.8655608840961
